,the_snippet,the_headline,the_date,the_news_desk
0,"Dans la capitale de Haïti, la mort coûte souvent plus cher que la vie. Les hommes qui s’occupent des corps se sont confiés aux journalistes du New York Times.",Les héros de la rue de l’Enterrement.,2018-01-02T18:00:47+0000,World
1,"Three former secretaries of homeland security, Jeh Johnson, Janet Napolitano and Michael Chertoff, sent a letter to congressional leaders urging action to replace the Deferred Action for Childhood Arrivals program.",Letter on DACA From Three Former Homeland Security Secretaries,2018-01-03T14:45:43+0000,U.S.
2,"How savvy a traveler are you? Here are a few questions, culled from recent articles in our Travel Tips collection, to test your travel smarts.",This Week’s Quiz: How Smart a Traveler Are You?,2018-01-02T09:29:43+0000,Travel
3,Sometimes all you can control is what’s on the outside.,How I Learned to Look Believable,2018-01-03T11:00:01+0000,Style
4,"A 19th-century cottage in Florida, a pueblo-style home in New Mexico and an 1889 house in Kentucky.","What You Get for $900,000",2018-01-03T14:02:29+0000,Real Estate
5,"A former cybersecurity specialist at the National Security Agency, Harold T. Martin III, accused of taking thousands of secret documents home over two decades, has offered to plead guilty to a single charge.",Read A Former N.S.A. Worker’s Offer to Plead Guilty,2018-01-03T22:41:49+0000,U.S.
6,A low-level adviser to the Trump campaign let something slip over drinks. The result is an investigation that has cast a shadow over President Trump’s first year in office.,Listen to ‘The Daily’: How the Russia Inquiry Began,2018-01-02T10:48:36+0000,Podcasts
7,What is Time’s Up and what do its initiatives intend to accomplish?,Teaching Activities for: ‘Powerful Hollywood Women Unveil Anti-Harassment Action Plan’,2018-01-02T09:04:01+0000,Learning
8,"Ms. Kotb, a longtime NBC News correspondent, has filled in since Mr. Lauer was fired in November over allegations of inappropriate sexual behavior.",Hoda Kotb Named to Replace Matt Lauer as Co-Anchor of NBC’s ‘Today’,2018-01-02T12:47:49+0000,Business
9,"A selection of books published this week; plus, a peek at what our colleagues around the newsroom are reading.",New & Noteworthy,2018-01-02T17:24:33+0000,BookReview
10,We have some plans about how to recognize the cultural moment — and would love to hear from readers about what you would like to see (and not see).,"Post-Weinstein, How We Will Be Covering the Red Carpets",2018-01-03T17:01:39+0000,NewsDesk
11,President Trump hit back at the former White House chief strategist through a statement saying that Mr. Bannon had nothing to do with his “historic victory.”,Read Trump’s Reaction to Steve Bannon’s Comments,2018-01-03T18:38:25+0000,Washington
12,"Mr. Hall, a producer and engineer and the founder of FAME Studios, turned small-town Alabama into a crucible of soul, country, rock and pop music.","Rick Hall, Architect of the Muscle Shoals Sound, Dies at 85",2018-01-03T07:48:59+0000,Obits
13,How would you describe your personal style? What does it say about you?,Style,2018-01-03T08:00:00+0000,Learning
14,"The image of a leader being able to launch missiles with the push of one finger has, for decades, instilled fear.","The ‘Nuclear Button’ Explained: For Starters, There’s No Button",2018-01-03T10:28:49+0000,Foreign
15,"In a neighborhood razed by fire, a woman is tracking and trapping house cats that fled in October and still elude their owners.",The Hunt for ‘Fire Cats’ Amid Northern California Ashes,2018-01-01T10:00:29+0000,National
16,"The regular season mocked the status quo, yielding several playoff teams that had been left out for a long time. But can anyone prevent another New England coronation?","For the N.F.L. Playoffs, Much Has Changed. Then There Are the Patriots.",2018-01-01T10:00:29+0000,Sports
17,"For decades, the Center for Science in the Public Interest has worked to influence public policy on nutrition.",They Took On the Food Giants — and Won,2018-01-01T11:00:13+0000,Science
18,"Experts in the study of fungi are playing a bigger role in improving laundry detergents and, by extension, leading efforts to cut energy use.","Fighting Climate Change, One Laundry Load at a Time",2018-01-01T20:32:36+0000,Business
19,Broken down by level of discomfort.,Have a Hangover From 2017? Here Are Some Suggestions for TV Shows to Stream,2018-01-01T12:00:01+0000,Watching
20,President Trump hit back at the former White House chief strategist through a statement saying that Mr. Bannon had nothing to do with his “historic victory.”,Read Trump’s Reaction to Steve Bannon’s Comments,2018-01-03T18:38:25+0000,Washington
21,"The Jayhawks have won or tied for 13 straight Big 12 regular-season basketball titles, but that run could be in jeopardy this year.","Kansas Is Suddenly Vulnerable at Home, and in the Big 12",2018-01-03T15:34:50+0000,Sports
22,"Mr. Hall, a producer and engineer and the founder of FAME Studios, turned small-town Alabama into a crucible of soul, country, rock and pop music.","Rick Hall, Architect of the Muscle Shoals Sound, Dies at 85",2018-01-03T07:48:59+0000,Obits
23,How would you describe your personal style? What does it say about you?,Style,2018-01-03T08:00:00+0000,Learning
24,"No corrections appeared in print on Tuesday, January 2, 2018.","No Corrections: January 2, 2018",2018-01-02T04:40:54+0000,Corrections
